ts_code,trade_date,open,high,low,close,vol,K,D,J,diff,ma30,vol_ma10,prev_close,pct_chg,name,industry,area,list_date
605133.SH,20250912,43.7,44.49,42.61,42.61,64545.0,41.43608705880638,56.02898114592256,12.250298884574022,2.3958251633113576,37.99966666666667,123205.397,43.7,-2.494279176201386,嵘泰股份,汽车配件,江苏,20210224
301335.SZ,20250912,34.11,34.5,33.68,33.69,52873.01,31.29102480578316,40.60034519096345,12.672384035422567,0.3731924449608641,33.766666666666666,82774.77699999999,34.55,-2.4891461649782953,天元宠物,文教休闲,浙江,20221118
300967.SZ,20250912,24.81,25.52,24.46,24.63,148815.7,39.199030296810314,53.29253415970752,11.01202257101589,1.0952295734189867,23.488333333333337,216208.08800000005,25.23,-2.378121284185497,晓鸣股份,农业综合,宁夏,20210413
605108.SH,20250912,21.27,21.38,20.72,20.79,47502.0,33.919681516652844,43.56208322348933,14.634878102979869,0.3989536302599319,20.386333333333333,69049.65,21.29,-2.348520432127754,同庆楼,酒店餐饮,安徽,20200716
300861.SZ,20250912,17.32,17.35,16.84,16.92,118186.11,38.79734344762493,52.45566142379852,11.480707495277755,0.557445431756836,15.912,194840.631,17.32,-2.3094688221708903,美畅股份,矿物制品,陕西,20200824
002946.SZ,20250912,18.33,18.43,17.85,17.91,74199.87,32.59550461726293,39.59120945546192,18.604094940864954,0.2430691632391202,17.91033333333333,93704.193,18.32,-2.2379912663755497,新乳业,乳制品,四川,20190125
600697.SH,20250912,13.87,14.15,13.63,13.67,226383.75,38.903785367916456,51.19388282645316,14.323590450843042,0.4673441186368841,13.179333333333334,339135.95499999996,13.98,-2.217453505007161,欧亚集团,百货,吉林,19931206
600104.SH,20250912,18.91,19.01,18.5,18.55,630281.04,29.464626621925223,34.309976552056405,19.773926761662864,0.19207911436707192,18.654,703163.808,18.97,-2.2140221402213944,上汽集团,汽车整车,上海,19971125
605008.SH,20250912,15.2,15.32,14.83,14.89,34933.2,25.68049123424602,36.17883709764025,4.6837995074575645,0.1196408826209403,14.881333333333334,41214.938,15.22,-2.1681997371879147,长鸿高科,橡胶,浙江,20200821
300973.SZ,20250912,47.5,47.86,46.57,46.71,25989.54,25.874103079464692,34.10435417400906,9.41360089037596,0.5344832394591492,46.20733333333333,35734.032,47.7,-2.075471698113207,立高食品,食品,广东,20210415
300433.SZ,20250912,30.09,30.13,29.25,29.49,1089299.15,29.83124172854811,39.742735450889604,10.008254283865128,1.3521823361292746,27.73866666666667,1355255.329,30.11,-2.0591165725672544,蓝思科技,元器件,湖南,20150318
300682.SZ,20250912,23.69,23.99,22.8,22.86,389010.59,28.68207769403172,34.693007683604215,16.660217714886727,0.5734071959106188,22.735999999999997,425216.613,23.32,-1.9725557461406584,朗新集团,软件服务,江苏,20170801
301665.SZ,20250912,31.03,31.03,30.25,30.5,35646.37,32.01128995682349,45.12031444795462,5.793240974561229,0.18285788335102993,30.594333333333335,48402.132,31.11,-1.9607843137254832,泰禾股份,农药化肥,江苏,20250411
600330.SH,20250912,10.81,11.01,10.61,10.7,1541073.25,40.598135251662086,53.36511747307806,15.064170808830141,0.7277731201554047,9.304666666666666,2597857.9869999997,10.91,-1.9248395967002785,天通股份,专用机械,浙江,20010118
002521.SZ,20250912,9.95,10.0,9.69,9.73,73173.96,41.25665997454031,58.227432749409104,7.315114424802729,0.22223575993606204,9.421666666666669,75072.838,9.92,-1.9153225806451513,齐峰新材,造纸,山东,20101210
001395.SZ,20250912,52.51,52.92,50.8,51.32,14904.8,15.551385132267153,21.687117987174894,3.2799194224516697,0.7066832518752548,51.498000000000005,15200.895999999999,52.32,-1.911314984709478,亚联机械,专用机械,吉林,20250127
000920.SZ,20250912,12.59,12.59,12.35,12.37,104235.01,31.729563549846628,40.69536656696019,13.797957515619501,0.29570734604106264,11.901333333333332,192335.22,12.61,-1.9032513877874746,沃顿科技,塑料,贵州,19990616
603112.SH,20250912,17.52,17.6,17.14,17.16,90165.0,29.773184063831653,37.13355751442673,15.05243716264151,0.026655045257903964,17.459,128357.8,17.49,-1.8867924528301772,华翔股份,机械基件,山西,20200917
301196.SZ,20250912,101.3,107.67,99.01,99.91,59139.01,36.91348639549028,47.47280788957846,15.79484340731392,4.36744871297708,96.539,62284.286,101.8,-1.8565815324165014,唯科科技,专用机械,福建,20220111
603686.SH,20250912,18.85,18.95,18.46,18.54,291217.56,37.96514467224671,48.209160984660016,17.477112047420093,0.30327421409476685,18.71333333333333,430246.16400000005,18.89,-1.8528321863419905,福龙马,环境保护,福建,20150126
001390.SZ,20250912,26.35,26.5,25.99,26.04,44757.99,45.34966441931233,57.538617789450306,20.9717576790364,0.5282542388752702,25.393666666666665,70766.378,26.53,-1.846965699208447,古麒绒材,纺织,安徽,20250529
600319.SH,20250912,8.22,8.3,8.03,8.1,66488.0,36.717872690745104,44.15740888792408,21.83880029638715,0.3037642563274394,7.649,173522.614,8.25,-1.8181818181818188,亚星化学,化工原料,山东,20010326
001212.SZ,20250912,54.04,54.26,52.86,53.11,56076.8,21.843144590583886,26.911020511672675,11.707392748406306,1.551904669105511,52.48033333333333,76019.319,54.08,-1.7936390532544366,中旗新材,其他建材,广东,20210823
605179.SH,20250912,22.74,23.35,22.44,22.56,88602.29,30.991567807535404,35.74022033207366,21.494262758458888,0.5003748398885293,21.885,146678.099,22.97,-1.784936874183718,一鸣食品,乳制品,浙江,20201228
