name,score,ts_code,trade_date,open,high,low,close,vol,K,D,J,diff,ma30,vol_ma10,zx_short_trend,ma60,ema13,prev_close,pct_chg,ma30_rising,zx_dev_pct,amp_pct,max_pct14,signal,vol_rel_ma10,ema13_rel_ma30,ema13_rel_ma60,close_rel_zx,turnover,score_momentum,score_trend,score_volume,score_risk,score_raw,_ind_bonus,_area_bonus,score_smoothed,signal_streak3,score_rank_pct,eligible_liquidity,industry,area,list_date
厦门钨业,0.3929056234462835,600549.SH,20250917,29.1,29.79,28.89,29.68,455086.77,40.88351864548289,50.66830798053561,21.313939975377437,1.3247306660487368,28.10666666666667,749018.592,29.949261464337184,25.174833333333332,30.11727912366094,29.6,0.2702702702702675,True,0.8990587786540716,3.0405405405405355,6.237816764132553,True,0.6075774017636134,0.07153507318527996,0.19632486638088076,-0.008990587786540716,13506975.3336,0.63664611842502,0.9254835111107906,0.8721493255501533,-0.29507200288020397,0.53480173805144,0.0,0.0,0.3929056234462835,1.0,0.9757456571615863,True,小金属,福建,20021107
宇晶股份,0.3224918878864313,002943.SZ,20250917,36.74,37.25,36.15,36.7,33842.68,30.23790086582706,39.71751692355633,11.278668750368524,1.2539930362806047,35.604,54766.066000000006,36.693094321861935,31.261166666666668,36.787225482879585,36.75,-0.1360544217686943,True,0.018820102980399156,2.9931972789115684,6.346153846153846,True,0.6179498085548083,0.03323293682955808,0.1767707160496117,0.00018820102980399156,1242026.3560000001,0.7404563870140972,0.6839391938623962,0.49081952631045306,-0.3027248409335931,0.40312256656333834,0.0,0.0,0.3224918878864313,1.0,0.9390363815142576,True,机床制造,湖南,20181129
鲁西化工,0.2684239775696069,000830.SZ,20250917,14.06,14.16,13.81,14.07,209146.38,29.70323717155039,40.60720099323737,7.895309528176426,0.4931544018273115,13.559333333333335,317877.73,14.226114718702897,12.290999999999999,14.266380664948729,14.11,-0.28348688873138794,True,1.09738127232768,2.4805102763997144,6.848357791754012,True,0.6579459970347719,0.05214469725272086,0.16071765234307467,-0.010973812723276799,2942689.5666,0.6830007418137546,0.698867090309983,0.4814866780288219,-0.27214511579728856,0.39780234858881774,0.0,0.0,0.2684239775696069,1.0,0.8813503769255981,True,化工原料,山东,19980807
三祥新材,0.25213735435116263,603663.SH,20250917,28.88,29.42,28.58,29.04,113837.35,41.507923187224364,51.63523784971028,21.253293862252534,0.6533022511013407,27.866333333333333,224286.72600000002,28.671269385928934,27.05933333333333,28.92202622396616,28.95,0.31088082901553626,True,1.286063093711598,2.9015544041450894,6.390574794716164,True,0.5075527742109892,0.03788416933095462,0.06883735337035257,0.01286063093711598,3305836.644,0.6175361578854827,0.44435260436595864,0.7181113305661303,-0.289591138820265,0.37260223849932667,0.0,0.0,0.25213735435116263,2.0,0.8646345460504753,True,小金属,福建,20160801
华锡有色,0.24264493957375866,600301.SH,20250917,31.71,31.95,30.75,31.68,89583.49,46.19530189670318,56.29402712315451,25.997851443800528,1.8157809674989558,29.297666666666668,129584.67,31.53726361885613,25.434,31.91049516857306,31.87,-0.5961719485409467,True,0.4525959603499885,3.765296517100719,6.555183946488308,True,0.6913124060122235,0.0891821362988996,0.2546392690325179,0.004525959603499885,2838004.9632,0.49267744594132207,1.258164374665101,0.4282696848262196,-0.5120000218604206,0.4167778708930555,0.0,0.0,0.24264493957375866,1.0,0.8531628974106851,True,小金属,广西,20000712
龙源电力,0.23533209675219569,001289.SZ,20250917,16.99,17.04,16.89,16.99,45233.71,31.175284102957495,43.486742104816116,6.552368099240255,0.14883470344842564,16.972,74323.47099999999,17.19904423758748,16.788833333333333,17.22048731965246,16.99,0.0,True,1.215441013464147,0.8828722778104685,6.071428571428572,True,0.6086059947334806,0.014641015770236798,0.025710779167847253,-0.012154410134641469,768520.7329,0.7299902325127384,0.07557381528232665,0.4907274365203846,0.2191221524790632,0.3788534091986282,0.0,0.0,0.23533209675219569,1.0,0.8443133398885612,True,新型电力,北京,20220124
五芳斋,0.20048466592293424,603237.SH,20250917,18.54,18.54,18.25,18.27,39162.58,43.52541694867971,58.146529875078514,14.283191095882103,0.2536885257593191,18.078333333333333,77796.902,18.36309120031154,17.600666666666665,18.450565022548453,18.56,-1.5625,True,0.506947328726226,1.5624999999999956,6.76217765042979,True,0.5033951094864935,0.02058993394754971,0.04828785022622939,-0.0050694732872622605,715500.3366,0.4714045241135983,0.20708446857841467,0.6471062419308099,-0.05077215385423478,0.318705770192147,0.0,0.0,0.20048466592293424,1.0,0.7787610619469026,True,食品,浙江,20220831
金钼股份,0.183747719340198,601958.SH,20250917,15.28,15.36,15.07,15.34,278400.77,28.558361863052614,32.24807999541703,21.178925598323787,0.5597946980985906,14.757333333333332,450319.174,15.472017728859758,13.268666666666666,15.526186031384935,15.36,-0.13020833333332593,True,0.8532676938025174,1.888020833333328,10.000000000000009,True,0.6182298824344531,0.05209970396988628,0.17013912712040402,-0.008532676938025174,4270667.8118,0.5833566714012569,0.7368908435745782,0.5807171345503555,-0.6715621514467314,0.3073506245198648,0.0,0.0,0.183747719340198,1.0,0.7410685021304491,True,小金属,陕西,20080417
沃顿科技,0.17186066294635788,000920.SZ,20250917,12.28,12.29,12.15,12.2,75253.1,21.41597133482075,30.13970926714592,3.968495470170403,0.2131942555634918,12.030000000000001,128611.872,12.355711791540381,11.6035,12.358399575953763,12.32,-0.9740259740259827,True,1.2602413698820092,1.1363636363636265,10.008340283569627,True,0.5851178342229557,0.027298385366065103,0.06505792010632683,-0.012602413698820092,918087.8200000001,0.6134656262305243,0.2639045995151243,0.5304520280535151,-0.5036455303891711,0.22604418085249817,0.0,0.0,0.17186066294635788,2.0,0.7194362504097017,True,塑料,贵州,19990616
亚星化学,0.16003527805154924,600319.SH,20250917,8.22,8.31,8.1,8.14,55685.97,33.36865214569787,39.543902548013506,21.018151341066613,0.2623187448493258,7.778666666666667,107179.63200000001,8.092227916198578,7.271333333333334,8.152028216960115,8.24,-1.2135922330097082,True,0.5903452583904123,2.5485436893203985,9.987029831387817,True,0.519557391277477,0.047998142392884136,0.12111876092786034,0.005903452583904123,453283.7958,0.4462696707311613,0.6287407703977104,0.615021112543571,-0.8181659850166462,0.2179663921639491,0.0,0.0,0.16003527805154924,1.0,0.6902654867256637,True,化工原料,山东,20010326
